Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037852584640.310	,1782037852584640.310	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,145.000,1782037852629228.130	,1782037852629373.130	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,129.600,1782037852629507.630	,1782037852629637.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,130.380,1782037852629756.170	,1782037852629886.550	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,130.420,1782037852629995.170	,1782037852630125.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,129.960,1782037852630233.490	,1782037852630363.450	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,130.100,1782037852630472.490	,1782037852630602.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,130.400,1782037852630711.910	,1782037852630842.310	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,129.940,1782037852630950.290	,1782037852631080.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,130.300,1782037852631183.810	,1782037852631314.110	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,130.640,1782037852631418.030	,1782037852631548.670	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,129.560,1782037852631655.850	,1782037852631785.410	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,130.100,1782037852631893.850	,1782037852632023.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,130.600,1782037852632127.910	,1782037852632258.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,130.220,1782037852632365.630	,1782037852632495.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,129.900,1782037852632599.790	,1782037852632729.690	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,131.360,1782037852632833.510	,1782037852632964.870	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,129.780,1782037852633068.290	,1782037852633198.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,130.460,1782037852633302.630	,1782037852633433.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,130.500,1782037852633540.510	,1782037852633671.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,130.700,1782037852633778.910	,1782037852633909.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,129.800,1782037852634017.230	,1782037852634147.030	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037852635364.950	,1782037852635364.950	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037852635414.590	,1782037852635414.610	
