Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029361826301.300	,1782029361826301.320	
0,spmm_kernel,MIX_AIC,47,0,775.980,1782029361898138.200	,1782029361898914.180	
0,spmm_kernel,MIX_AIC,47,1,758.880,1782029361899042.300	,1782029361899801.180	
0,spmm_kernel,MIX_AIC,47,2,758.480,1782029361899921.400	,1782029361900679.880	
0,spmm_kernel,MIX_AIC,47,3,757.300,1782029361900799.640	,1782029361901556.940	
0,spmm_kernel,MIX_AIC,47,4,760.300,1782029361901666.380	,1782029361902426.680	
0,spmm_kernel,MIX_AIC,47,5,754.940,1782029361902535.080	,1782029361903290.020	
0,spmm_kernel,MIX_AIC,47,6,758.620,1782029361903397.180	,1782029361904155.800	
0,spmm_kernel,MIX_AIC,47,7,752.580,1782029361904262.780	,1782029361905015.360	
0,spmm_kernel,MIX_AIC,47,8,757.100,1782029361905129.240	,1782029361905886.340	
0,spmm_kernel,MIX_AIC,47,9,758.220,1782029361906002.080	,1782029361906760.300	
0,spmm_kernel,MIX_AIC,47,10,756.360,1782029361906875.860	,1782029361907632.220	
0,spmm_kernel,MIX_AIC,47,11,756.140,1782029361907738.540	,1782029361908494.680	
0,spmm_kernel,MIX_AIC,47,12,761.300,1782029361908600.400	,1782029361909361.700	
0,spmm_kernel,MIX_AIC,47,13,761.180,1782029361909470.800	,1782029361910231.980	
0,spmm_kernel,MIX_AIC,47,14,761.720,1782029361910338.680	,1782029361911100.400	
0,spmm_kernel,MIX_AIC,47,15,756.980,1782029361911206.100	,1782029361911963.080	
0,spmm_kernel,MIX_AIC,47,16,761.040,1782029361912069.800	,1782029361912830.840	
0,spmm_kernel,MIX_AIC,47,17,757.060,1782029361912939.360	,1782029361913696.420	
0,spmm_kernel,MIX_AIC,47,18,756.560,1782029361913800.040	,1782029361914556.600	
0,spmm_kernel,MIX_AIC,47,19,758.560,1782029361914664.120	,1782029361915422.680	
0,spmm_kernel,MIX_AIC,47,20,757.580,1782029361915539.540	,1782029361916297.120	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029361921651.540	,1782029361921651.540	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029361921704.920	,1782029361921704.920	
