Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029343588705.100	,1782029343588705.100	
0,spmm_kernel,MIX_AIC,47,0,765.460,1782029343674217.040	,1782029343674982.500	
0,spmm_kernel,MIX_AIC,47,1,750.320,1782029343675108.440	,1782029343675858.760	
0,spmm_kernel,MIX_AIC,47,2,750.960,1782029343675971.920	,1782029343676722.880	
0,spmm_kernel,MIX_AIC,47,3,753.560,1782029343676828.360	,1782029343677581.920	
0,spmm_kernel,MIX_AIC,47,4,752.020,1782029343677688.780	,1782029343678440.800	
0,spmm_kernel,MIX_AIC,47,5,750.960,1782029343678547.480	,1782029343679298.440	
0,spmm_kernel,MIX_AIC,47,6,753.540,1782029343679404.500	,1782029343680158.040	
0,spmm_kernel,MIX_AIC,47,7,752.960,1782029343680266.400	,1782029343681019.360	
0,spmm_kernel,MIX_AIC,47,8,751.980,1782029343681122.700	,1782029343681874.680	
0,spmm_kernel,MIX_AIC,47,9,754.020,1782029343681982.640	,1782029343682736.660	
0,spmm_kernel,MIX_AIC,47,10,753.120,1782029343682847.820	,1782029343683600.940	
0,spmm_kernel,MIX_AIC,47,11,750.780,1782029343683718.640	,1782029343684469.420	
0,spmm_kernel,MIX_AIC,47,12,751.880,1782029343684578.060	,1782029343685329.940	
0,spmm_kernel,MIX_AIC,47,13,751.140,1782029343685434.940	,1782029343686186.080	
0,spmm_kernel,MIX_AIC,47,14,754.280,1782029343686292.520	,1782029343687046.800	
0,spmm_kernel,MIX_AIC,47,15,749.320,1782029343687152.280	,1782029343687901.600	
0,spmm_kernel,MIX_AIC,47,16,752.000,1782029343688007.260	,1782029343688759.260	
0,spmm_kernel,MIX_AIC,47,17,751.460,1782029343688863.600	,1782029343689615.060	
0,spmm_kernel,MIX_AIC,47,18,752.360,1782029343689717.960	,1782029343690470.320	
0,spmm_kernel,MIX_AIC,47,19,753.280,1782029343690576.020	,1782029343691329.300	
0,spmm_kernel,MIX_AIC,47,20,752.720,1782029343691438.580	,1782029343692191.300	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029343697545.400	,1782029343697545.400	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029343697598.100	,1782029343697598.120	
