Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029403768843.280	,1782029403768843.280	
0,spmm_kernel,MIX_AIC,47,0,934.620,1782029403876873.460	,1782029403877808.080	
0,spmm_kernel,MIX_AIC,47,1,918.240,1782029403877933.860	,1782029403878852.100	
0,spmm_kernel,MIX_AIC,47,2,916.340,1782029403878970.000	,1782029403879886.340	
0,spmm_kernel,MIX_AIC,47,3,920.000,1782029403879999.600	,1782029403880919.600	
0,spmm_kernel,MIX_AIC,47,4,917.860,1782029403881030.460	,1782029403881948.320	
0,spmm_kernel,MIX_AIC,47,5,915.100,1782029403882061.700	,1782029403882976.800	
0,spmm_kernel,MIX_AIC,47,6,920.240,1782029403883086.440	,1782029403884006.680	
0,spmm_kernel,MIX_AIC,47,7,917.060,1782029403884116.480	,1782029403885033.540	
0,spmm_kernel,MIX_AIC,47,8,917.340,1782029403885138.660	,1782029403886056.000	
0,spmm_kernel,MIX_AIC,47,9,916.220,1782029403886165.140	,1782029403887081.360	
0,spmm_kernel,MIX_AIC,47,10,916.680,1782029403887196.120	,1782029403888112.800	
0,spmm_kernel,MIX_AIC,47,11,915.300,1782029403888229.420	,1782029403889144.720	
0,spmm_kernel,MIX_AIC,47,12,920.600,1782029403889259.020	,1782029403890179.620	
0,spmm_kernel,MIX_AIC,47,13,916.280,1782029403890291.840	,1782029403891208.120	
0,spmm_kernel,MIX_AIC,47,14,919.300,1782029403891316.280	,1782029403892235.580	
0,spmm_kernel,MIX_AIC,47,15,915.420,1782029403892347.400	,1782029403893262.820	
0,spmm_kernel,MIX_AIC,47,16,919.340,1782029403893371.160	,1782029403894290.500	
0,spmm_kernel,MIX_AIC,47,17,916.000,1782029403894402.600	,1782029403895318.600	
0,spmm_kernel,MIX_AIC,47,18,919.340,1782029403895430.800	,1782029403896350.140	
0,spmm_kernel,MIX_AIC,47,19,920.060,1782029403896457.960	,1782029403897378.020	
0,spmm_kernel,MIX_AIC,47,20,922.780,1782029403897492.040	,1782029403898414.820	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029403905093.760	,1782029403905093.780	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029403905143.440	,1782029403905143.440	
