Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037794872787.500	,1782037794872787.520	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,264.040,1782037794921501.400	,1782037794921765.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,248.780,1782037794921898.540	,1782037794922147.320	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,249.960,1782037794922267.740	,1782037794922517.700	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,249.740,1782037794922624.320	,1782037794922874.060	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,250.720,1782037794922986.760	,1782037794923237.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,251.300,1782037794923352.580	,1782037794923603.880	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,251.220,1782037794923714.360	,1782037794923965.580	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,250.680,1782037794924078.240	,1782037794924328.920	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,252.560,1782037794924441.000	,1782037794924693.560	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,248.740,1782037794924806.420	,1782037794925055.160	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,252.160,1782037794925165.260	,1782037794925417.420	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,251.460,1782037794925528.320	,1782037794925779.780	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,251.600,1782037794925890.360	,1782037794926141.960	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,250.880,1782037794926250.360	,1782037794926501.240	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,248.860,1782037794926611.080	,1782037794926859.940	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,253.020,1782037794926971.020	,1782037794927224.040	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,251.160,1782037794927337.020	,1782037794927588.180	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,249.520,1782037794927702.780	,1782037794927952.300	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,253.200,1782037794928076.160	,1782037794928329.360	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,250.740,1782037794928446.800	,1782037794928697.540	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,252.900,1782037794928810.520	,1782037794929063.420	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037794930540.360	,1782037794930540.360	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037794930589.900	,1782037794930589.900	
