Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029312539826.150	,1782029312539826.150	
0,spmm_kernel,MIX_AIC,47,0,754.120,1782029312610697.650	,1782029312611451.770	
0,spmm_kernel,MIX_AIC,47,1,737.820,1782029312611584.910	,1782029312612322.730	
0,spmm_kernel,MIX_AIC,47,2,739.700,1782029312612439.410	,1782029312613179.110	
0,spmm_kernel,MIX_AIC,47,3,737.940,1782029312613290.870	,1782029312614028.810	
0,spmm_kernel,MIX_AIC,47,4,740.100,1782029312614133.810	,1782029312614873.910	
0,spmm_kernel,MIX_AIC,47,5,738.560,1782029312614982.830	,1782029312615721.390	
0,spmm_kernel,MIX_AIC,47,6,741.720,1782029312615834.230	,1782029312616575.950	
0,spmm_kernel,MIX_AIC,47,7,738.740,1782029312616683.810	,1782029312617422.550	
0,spmm_kernel,MIX_AIC,47,8,743.880,1782029312617530.850	,1782029312618274.730	
0,spmm_kernel,MIX_AIC,47,9,740.100,1782029312618380.350	,1782029312619120.450	
0,spmm_kernel,MIX_AIC,47,10,742.040,1782029312619232.950	,1782029312619974.990	
0,spmm_kernel,MIX_AIC,47,11,739.120,1782029312620081.830	,1782029312620820.950	
0,spmm_kernel,MIX_AIC,47,12,741.460,1782029312620934.610	,1782029312621676.070	
0,spmm_kernel,MIX_AIC,47,13,738.060,1782029312621786.650	,1782029312622524.710	
0,spmm_kernel,MIX_AIC,47,14,741.260,1782029312622631.330	,1782029312623372.590	
0,spmm_kernel,MIX_AIC,47,15,740.480,1782029312623485.490	,1782029312624225.970	
0,spmm_kernel,MIX_AIC,47,16,739.620,1782029312624332.630	,1782029312625072.250	
0,spmm_kernel,MIX_AIC,47,17,743.320,1782029312625177.670	,1782029312625920.990	
0,spmm_kernel,MIX_AIC,47,18,742.380,1782029312626028.990	,1782029312626771.370	
0,spmm_kernel,MIX_AIC,47,19,738.240,1782029312626877.270	,1782029312627615.510	
0,spmm_kernel,MIX_AIC,47,20,739.440,1782029312627723.970	,1782029312628463.410	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029312633720.950	,1782029312633720.950	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029312633771.970	,1782029312633771.990	
