Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029299732441.840	,1782029299732441.860	
0,spmm_kernel,MIX_AIC,47,0,630.300,1782029299797436.100	,1782029299798066.400	
0,spmm_kernel,MIX_AIC,47,1,618.520,1782029299798194.860	,1782029299798813.380	
0,spmm_kernel,MIX_AIC,47,2,624.380,1782029299798930.040	,1782029299799554.420	
0,spmm_kernel,MIX_AIC,47,3,624.820,1782029299799664.340	,1782029299800289.160	
0,spmm_kernel,MIX_AIC,47,4,622.480,1782029299800397.700	,1782029299801020.180	
0,spmm_kernel,MIX_AIC,47,5,622.580,1782029299801136.720	,1782029299801759.300	
0,spmm_kernel,MIX_AIC,47,6,630.920,1782029299801871.900	,1782029299802502.820	
0,spmm_kernel,MIX_AIC,47,7,621.300,1782029299802623.740	,1782029299803245.040	
0,spmm_kernel,MIX_AIC,47,8,626.580,1782029299803353.420	,1782029299803980.000	
0,spmm_kernel,MIX_AIC,47,9,626.960,1782029299804088.880	,1782029299804715.840	
0,spmm_kernel,MIX_AIC,47,10,627.760,1782029299804826.880	,1782029299805454.640	
0,spmm_kernel,MIX_AIC,47,11,624.400,1782029299805563.420	,1782029299806187.820	
0,spmm_kernel,MIX_AIC,47,12,628.160,1782029299806298.820	,1782029299806926.980	
0,spmm_kernel,MIX_AIC,47,13,622.700,1782029299807035.540	,1782029299807658.240	
0,spmm_kernel,MIX_AIC,47,14,630.400,1782029299807777.820	,1782029299808408.220	
0,spmm_kernel,MIX_AIC,47,15,622.120,1782029299808520.640	,1782029299809142.760	
0,spmm_kernel,MIX_AIC,47,16,624.560,1782029299809250.140	,1782029299809874.700	
0,spmm_kernel,MIX_AIC,47,17,623.960,1782029299809984.820	,1782029299810608.780	
0,spmm_kernel,MIX_AIC,47,18,628.620,1782029299810717.740	,1782029299811346.360	
0,spmm_kernel,MIX_AIC,47,19,625.780,1782029299811456.940	,1782029299812082.720	
0,spmm_kernel,MIX_AIC,47,20,625.340,1782029299812193.680	,1782029299812819.020	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029299817536.260	,1782029299817536.260	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029299817586.320	,1782029299817586.340	
