Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029293358152.580	,1782029293358152.600	
0,spmm_kernel,MIX_AIC,47,0,606.180,1782029293415495.740	,1782029293416101.920	
0,spmm_kernel,MIX_AIC,47,1,589.760,1782029293416228.780	,1782029293416818.540	
0,spmm_kernel,MIX_AIC,47,2,597.820,1782029293416944.220	,1782029293417542.040	
0,spmm_kernel,MIX_AIC,47,3,596.520,1782029293417658.800	,1782029293418255.320	
0,spmm_kernel,MIX_AIC,47,4,599.800,1782029293418362.180	,1782029293418961.980	
0,spmm_kernel,MIX_AIC,47,5,589.660,1782029293419069.740	,1782029293419659.400	
0,spmm_kernel,MIX_AIC,47,6,596.620,1782029293419763.060	,1782029293420359.680	
0,spmm_kernel,MIX_AIC,47,7,593.360,1782029293420462.800	,1782029293421056.160	
0,spmm_kernel,MIX_AIC,47,8,598.220,1782029293421161.080	,1782029293421759.300	
0,spmm_kernel,MIX_AIC,47,9,594.020,1782029293421864.040	,1782029293422458.060	
0,spmm_kernel,MIX_AIC,47,10,596.440,1782029293422568.260	,1782029293423164.700	
0,spmm_kernel,MIX_AIC,47,11,598.100,1782029293423272.260	,1782029293423870.360	
0,spmm_kernel,MIX_AIC,47,12,594.200,1782029293423985.040	,1782029293424579.240	
0,spmm_kernel,MIX_AIC,47,13,590.560,1782029293424689.100	,1782029293425279.660	
0,spmm_kernel,MIX_AIC,47,14,596.460,1782029293425386.600	,1782029293425983.060	
0,spmm_kernel,MIX_AIC,47,15,595.880,1782029293426087.300	,1782029293426683.180	
0,spmm_kernel,MIX_AIC,47,16,598.700,1782029293426793.140	,1782029293427391.840	
0,spmm_kernel,MIX_AIC,47,17,594.940,1782029293427498.260	,1782029293428093.200	
0,spmm_kernel,MIX_AIC,47,18,596.760,1782029293428199.600	,1782029293428796.360	
0,spmm_kernel,MIX_AIC,47,19,592.580,1782029293428903.860	,1782029293429496.440	
0,spmm_kernel,MIX_AIC,47,20,592.300,1782029293429603.740	,1782029293430196.040	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029293434786.060	,1782029293434786.080	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029293434837.400	,1782029293434837.420	
