Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037771684917.360	,1782037771684917.360	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,108.980,1782037771713004.100	,1782037771713113.080	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,95.880,1782037771713236.780	,1782037771713332.660	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,96.940,1782037771713442.760	,1782037771713539.700	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,97.360,1782037771713644.060	,1782037771713741.420	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,96.860,1782037771713846.240	,1782037771713943.100	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,95.900,1782037771714044.800	,1782037771714140.700	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,98.020,1782037771714245.440	,1782037771714343.460	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,96.480,1782037771714446.880	,1782037771714543.360	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,96.600,1782037771714646.220	,1782037771714742.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,95.980,1782037771714862.360	,1782037771714958.340	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,97.720,1782037771715073.680	,1782037771715171.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,96.180,1782037771715276.320	,1782037771715372.500	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,97.680,1782037771715476.020	,1782037771715573.700	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,95.840,1782037771715675.340	,1782037771715771.180	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,95.960,1782037771715874.420	,1782037771715970.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,95.220,1782037771716072.640	,1782037771716167.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,95.660,1782037771716271.540	,1782037771716367.200	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,97.420,1782037771716472.060	,1782037771716569.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,96.700,1782037771716671.460	,1782037771716768.160	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,97.240,1782037771716873.240	,1782037771716970.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,96.380,1782037771717072.240	,1782037771717168.620	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037771717974.720	,1782037771717974.740	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037771718030.760	,1782037771718030.760	
