Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037659574003.200	,1782037659574003.200	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,98.980,1782037659583605.640	,1782037659583704.620	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,30.800,1782037659583833.860	,1782037659583864.660	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,9.940,1782037659583982.820	,1782037659583992.760	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,9.420,1782037659584107.240	,1782037659584116.660	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,9.300,1782037659584228.140	,1782037659584237.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,9.800,1782037659584345.080	,1782037659584354.880	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,9.660,1782037659584463.800	,1782037659584473.460	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,9.360,1782037659584584.460	,1782037659584593.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,9.760,1782037659584704.900	,1782037659584714.660	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,9.780,1782037659584821.620	,1782037659584831.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,9.880,1782037659584941.880	,1782037659584951.760	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,9.360,1782037659585062.740	,1782037659585072.100	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,9.860,1782037659585181.360	,1782037659585191.220	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,9.700,1782037659585298.320	,1782037659585308.020	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,9.560,1782037659585425.820	,1782037659585435.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,9.840,1782037659585542.220	,1782037659585552.060	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,9.300,1782037659585658.340	,1782037659585667.640	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,9.520,1782037659585774.200	,1782037659585783.720	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,9.500,1782037659585889.800	,1782037659585899.300	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,9.360,1782037659586007.240	,1782037659586016.600	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,9.420,1782037659586123.940	,1782037659586133.360	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037659586935.380	,1782037659586935.380	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037659586989.320	,1782037659586989.340	
