Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037695801565.690	,1782037695801565.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,110.040,1782037695811874.830	,1782037695811984.870	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,18.820,1782037695812115.770	,1782037695812134.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,19.000,1782037695812261.130	,1782037695812280.130	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,19.400,1782037695812398.490	,1782037695812417.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,19.420,1782037695812533.870	,1782037695812553.290	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,18.640,1782037695812666.930	,1782037695812685.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,18.760,1782037695812799.850	,1782037695812818.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,18.760,1782037695812934.530	,1782037695812953.290	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,18.700,1782037695813068.650	,1782037695813087.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,19.460,1782037695813204.350	,1782037695813223.810	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,18.560,1782037695813335.290	,1782037695813353.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,19.000,1782037695813461.950	,1782037695813480.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,18.620,1782037695813591.170	,1782037695813609.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,19.200,1782037695813714.170	,1782037695813733.370	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,19.120,1782037695813844.290	,1782037695813863.410	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,19.080,1782037695813973.190	,1782037695813992.270	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,18.760,1782037695814102.810	,1782037695814121.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,18.600,1782037695814231.750	,1782037695814250.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,18.560,1782037695814360.570	,1782037695814379.130	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,18.880,1782037695814488.490	,1782037695814507.370	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,18.740,1782037695814616.890	,1782037695814635.630	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037695815490.490	,1782037695815490.510	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037695815542.130	,1782037695815542.130	
