Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029262516905.470	,1782029262516905.470	
0,spmm_kernel,MIX_AIC,47,0,299.260,1782029262549485.790	,1782029262549785.050	
0,spmm_kernel,MIX_AIC,47,1,318.540,1782029262549907.910	,1782029262550226.450	
0,spmm_kernel,MIX_AIC,47,2,317.760,1782029262550338.790	,1782029262550656.550	
0,spmm_kernel,MIX_AIC,47,3,314.020,1782029262550765.270	,1782029262551079.290	
0,spmm_kernel,MIX_AIC,47,4,310.480,1782029262551183.890	,1782029262551494.370	
0,spmm_kernel,MIX_AIC,47,5,310.420,1782029262551599.110	,1782029262551909.530	
0,spmm_kernel,MIX_AIC,47,6,311.420,1782029262552013.830	,1782029262552325.250	
0,spmm_kernel,MIX_AIC,47,7,311.260,1782029262552429.090	,1782029262552740.350	
0,spmm_kernel,MIX_AIC,47,8,311.020,1782029262552845.690	,1782029262553156.710	
0,spmm_kernel,MIX_AIC,47,9,304.960,1782029262553260.210	,1782029262553565.170	
0,spmm_kernel,MIX_AIC,47,10,305.500,1782029262553673.590	,1782029262553979.090	
0,spmm_kernel,MIX_AIC,47,11,309.980,1782029262554083.050	,1782029262554393.030	
0,spmm_kernel,MIX_AIC,47,12,309.420,1782029262554498.850	,1782029262554808.270	
0,spmm_kernel,MIX_AIC,47,13,308.420,1782029262554914.370	,1782029262555222.790	
0,spmm_kernel,MIX_AIC,47,14,305.600,1782029262555326.210	,1782029262555631.810	
0,spmm_kernel,MIX_AIC,47,15,309.580,1782029262555735.570	,1782029262556045.150	
0,spmm_kernel,MIX_AIC,47,16,311.240,1782029262556150.810	,1782029262556462.050	
0,spmm_kernel,MIX_AIC,47,17,309.420,1782029262556565.130	,1782029262556874.550	
0,spmm_kernel,MIX_AIC,47,18,310.920,1782029262556991.430	,1782029262557302.350	
0,spmm_kernel,MIX_AIC,47,19,311.180,1782029262557411.050	,1782029262557722.230	
0,spmm_kernel,MIX_AIC,47,20,307.560,1782029262557830.310	,1782029262558137.870	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029262560047.170	,1782029262560047.170	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029262560104.990	,1782029262560105.010	
