Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029287960357.030	,1782029287960357.050	
0,spmm_kernel,MIX_AIC,47,0,604.240,1782029288024893.610	,1782029288025497.850	
0,spmm_kernel,MIX_AIC,47,1,586.560,1782029288025637.470	,1782029288026224.030	
0,spmm_kernel,MIX_AIC,47,2,595.480,1782029288026347.430	,1782029288026942.910	
0,spmm_kernel,MIX_AIC,47,3,590.460,1782029288027049.890	,1782029288027640.350	
0,spmm_kernel,MIX_AIC,47,4,594.440,1782029288027745.130	,1782029288028339.570	
0,spmm_kernel,MIX_AIC,47,5,592.240,1782029288028445.530	,1782029288029037.770	
0,spmm_kernel,MIX_AIC,47,6,591.500,1782029288029141.590	,1782029288029733.090	
0,spmm_kernel,MIX_AIC,47,7,590.400,1782029288029837.250	,1782029288030427.650	
0,spmm_kernel,MIX_AIC,47,8,589.800,1782029288030531.510	,1782029288031121.310	
0,spmm_kernel,MIX_AIC,47,9,594.000,1782029288031232.750	,1782029288031826.750	
0,spmm_kernel,MIX_AIC,47,10,590.920,1782029288031938.870	,1782029288032529.790	
0,spmm_kernel,MIX_AIC,47,11,593.900,1782029288032634.030	,1782029288033227.930	
0,spmm_kernel,MIX_AIC,47,12,595.300,1782029288033334.330	,1782029288033929.630	
0,spmm_kernel,MIX_AIC,47,13,591.280,1782029288034034.330	,1782029288034625.610	
0,spmm_kernel,MIX_AIC,47,14,591.440,1782029288034728.070	,1782029288035319.510	
0,spmm_kernel,MIX_AIC,47,15,593.000,1782029288035426.690	,1782029288036019.690	
0,spmm_kernel,MIX_AIC,47,16,589.120,1782029288036125.930	,1782029288036715.050	
0,spmm_kernel,MIX_AIC,47,17,590.480,1782029288036817.930	,1782029288037408.410	
0,spmm_kernel,MIX_AIC,47,18,591.280,1782029288037511.030	,1782029288038102.310	
0,spmm_kernel,MIX_AIC,47,19,592.900,1782029288038203.890	,1782029288038796.790	
0,spmm_kernel,MIX_AIC,47,20,594.900,1782029288038903.070	,1782029288039497.970	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029288044094.730	,1782029288044094.730	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029288044145.790	,1782029288044145.790	
