Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029306124389.840	,1782029306124389.840	
0,spmm_kernel,MIX_AIC,47,0,725.820,1782029306191393.740	,1782029306192119.560	
0,spmm_kernel,MIX_AIC,47,1,711.000,1782029306192248.860	,1782029306192959.860	
0,spmm_kernel,MIX_AIC,47,2,713.920,1782029306193083.940	,1782029306193797.860	
0,spmm_kernel,MIX_AIC,47,3,710.320,1782029306193917.680	,1782029306194628.000	
0,spmm_kernel,MIX_AIC,47,4,711.180,1782029306194736.200	,1782029306195447.380	
0,spmm_kernel,MIX_AIC,47,5,710.140,1782029306195551.980	,1782029306196262.120	
0,spmm_kernel,MIX_AIC,47,6,712.600,1782029306196367.780	,1782029306197080.380	
0,spmm_kernel,MIX_AIC,47,7,712.000,1782029306197187.520	,1782029306197899.520	
0,spmm_kernel,MIX_AIC,47,8,712.560,1782029306198009.520	,1782029306198722.080	
0,spmm_kernel,MIX_AIC,47,9,711.300,1782029306198827.300	,1782029306199538.600	
0,spmm_kernel,MIX_AIC,47,10,714.860,1782029306199657.920	,1782029306200372.780	
0,spmm_kernel,MIX_AIC,47,11,711.720,1782029306200484.820	,1782029306201196.540	
0,spmm_kernel,MIX_AIC,47,12,714.940,1782029306201303.680	,1782029306202018.620	
0,spmm_kernel,MIX_AIC,47,13,712.820,1782029306202126.280	,1782029306202839.100	
0,spmm_kernel,MIX_AIC,47,14,714.900,1782029306202944.300	,1782029306203659.200	
0,spmm_kernel,MIX_AIC,47,15,713.580,1782029306203765.200	,1782029306204478.780	
0,spmm_kernel,MIX_AIC,47,16,716.420,1782029306204584.940	,1782029306205301.360	
0,spmm_kernel,MIX_AIC,47,17,712.580,1782029306205403.760	,1782029306206116.340	
0,spmm_kernel,MIX_AIC,47,18,714.140,1782029306206221.020	,1782029306206935.160	
0,spmm_kernel,MIX_AIC,47,19,711.940,1782029306207043.180	,1782029306207755.120	
0,spmm_kernel,MIX_AIC,47,20,715.200,1782029306207864.100	,1782029306208579.300	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029306213725.780	,1782029306213725.800	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029306213777.540	,1782029306213777.560	
