Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037822659699.230	,1782037822659699.250	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,493.060,1782037822737451.950	,1782037822737945.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,472.200,1782037822738082.690	,1782037822738554.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,478.380,1782037822738672.050	,1782037822739150.430	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,474.020,1782037822739266.010	,1782037822739740.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,477.420,1782037822739854.070	,1782037822740331.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,472.820,1782037822740444.730	,1782037822740917.550	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,482.220,1782037822741027.370	,1782037822741509.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,473.740,1782037822741625.970	,1782037822742099.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,477.400,1782037822742209.490	,1782037822742686.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,475.760,1782037822742804.210	,1782037822743279.970	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,473.000,1782037822743388.890	,1782037822743861.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,474.540,1782037822743970.950	,1782037822744445.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,478.980,1782037822744556.170	,1782037822745035.150	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,474.900,1782037822745144.570	,1782037822745619.470	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,476.060,1782037822745737.810	,1782037822746213.870	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,478.220,1782037822746325.370	,1782037822746803.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,472.800,1782037822746918.450	,1782037822747391.250	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,477.460,1782037822747504.110	,1782037822747981.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,473.140,1782037822748093.190	,1782037822748566.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,474.420,1782037822748678.910	,1782037822749153.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,473.500,1782037822749264.010	,1782037822749737.510	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037822754754.710	,1782037822754754.730	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037822754806.890	,1782037822754806.890	
