Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029349992702.320	,1782029349992702.340	
0,spmm_kernel,MIX_AIC,47,0,767.660,1782029350075156.600	,1782029350075924.260	
0,spmm_kernel,MIX_AIC,47,1,753.340,1782029350076052.880	,1782029350076806.220	
0,spmm_kernel,MIX_AIC,47,2,751.000,1782029350076925.620	,1782029350077676.620	
0,spmm_kernel,MIX_AIC,47,3,754.340,1782029350077796.160	,1782029350078550.500	
0,spmm_kernel,MIX_AIC,47,4,753.020,1782029350078658.720	,1782029350079411.740	
0,spmm_kernel,MIX_AIC,47,5,752.280,1782029350079520.220	,1782029350080272.500	
0,spmm_kernel,MIX_AIC,47,6,752.540,1782029350080381.140	,1782029350081133.680	
0,spmm_kernel,MIX_AIC,47,7,751.620,1782029350081238.540	,1782029350081990.160	
0,spmm_kernel,MIX_AIC,47,8,753.020,1782029350082095.860	,1782029350082848.880	
0,spmm_kernel,MIX_AIC,47,9,750.080,1782029350082970.260	,1782029350083720.340	
0,spmm_kernel,MIX_AIC,47,10,751.220,1782029350083830.420	,1782029350084581.640	
0,spmm_kernel,MIX_AIC,47,11,750.000,1782029350084687.460	,1782029350085437.460	
0,spmm_kernel,MIX_AIC,47,12,754.540,1782029350085540.900	,1782029350086295.440	
0,spmm_kernel,MIX_AIC,47,13,749.660,1782029350086402.180	,1782029350087151.840	
0,spmm_kernel,MIX_AIC,47,14,752.100,1782029350087260.320	,1782029350088012.420	
0,spmm_kernel,MIX_AIC,47,15,750.780,1782029350088117.760	,1782029350088868.540	
0,spmm_kernel,MIX_AIC,47,16,749.800,1782029350088974.120	,1782029350089723.920	
0,spmm_kernel,MIX_AIC,47,17,750.440,1782029350089827.660	,1782029350090578.100	
0,spmm_kernel,MIX_AIC,47,18,752.280,1782029350090682.320	,1782029350091434.600	
0,spmm_kernel,MIX_AIC,47,19,750.560,1782029350091542.200	,1782029350092292.760	
0,spmm_kernel,MIX_AIC,47,20,752.300,1782029350092407.180	,1782029350093159.480	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029350098479.820	,1782029350098479.840	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029350098531.900	,1782029350098531.920	
