Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037875749522.130	,1782037875749522.150	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,0,1212.980,1782037875852320.170	,1782037875853533.150	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,1,1207.260,1782037875853663.730	,1782037875854870.990	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,2,1208.840,1782037875855000.730	,1782037875856209.570	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,3,1199.860,1782037875856322.770	,1782037875857522.630	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,4,1204.180,1782037875857634.610	,1782037875858838.790	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,5,1194.780,1782037875858951.670	,1782037875860146.450	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,6,1200.180,1782037875860256.590	,1782037875861456.770	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,7,1205.260,1782037875861568.330	,1782037875862773.590	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,8,1206.180,1782037875862884.870	,1782037875864091.050	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,9,1194.020,1782037875864214.010	,1782037875865408.030	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,10,1195.960,1782037875865526.430	,1782037875866722.390	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,11,1204.640,1782037875866835.210	,1782037875868039.850	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,12,1196.280,1782037875868154.010	,1782037875869350.290	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,13,1202.180,1782037875869460.190	,1782037875870662.370	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,14,1203.960,1782037875870774.490	,1782037875871978.450	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,15,1204.040,1782037875872090.550	,1782037875873294.590	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,16,1211.200,1782037875873403.150	,1782037875874614.350	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,17,1193.800,1782037875874722.810	,1782037875875916.610	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,18,1197.980,1782037875876027.010	,1782037875877224.990	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,19,1190.740,1782037875877335.610	,1782037875878526.350	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,20,1200.460,1782037875878646.310	,1782037875879846.770	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037875886044.850	,1782037875886044.870	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037875886092.730	,1782037875886092.730	
