Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037706211135.130	,1782037706211135.150	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,50.840,1782037706220939.510	,1782037706220990.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,14.260,1782037706221126.770	,1782037706221141.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,14.340,1782037706221269.170	,1782037706221283.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,14.380,1782037706221399.590	,1782037706221413.970	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,14.500,1782037706221524.010	,1782037706221538.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,14.520,1782037706221649.210	,1782037706221663.730	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,14.220,1782037706221769.890	,1782037706221784.110	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,14.720,1782037706221895.230	,1782037706221909.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,14.620,1782037706222021.130	,1782037706222035.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,14.460,1782037706222142.950	,1782037706222157.410	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,14.220,1782037706222262.910	,1782037706222277.130	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,14.980,1782037706222383.810	,1782037706222398.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,14.160,1782037706222511.010	,1782037706222525.170	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,14.440,1782037706222635.890	,1782037706222650.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,14.120,1782037706222754.870	,1782037706222768.990	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,14.540,1782037706222875.390	,1782037706222889.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,14.120,1782037706222995.070	,1782037706223009.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,14.300,1782037706223122.570	,1782037706223136.870	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,14.600,1782037706223241.490	,1782037706223256.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,14.560,1782037706223361.790	,1782037706223376.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,14.580,1782037706223482.750	,1782037706223497.330	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037706224352.790	,1782037706224352.810	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037706224405.870	,1782037706224405.890	
