Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037834744277.550	,1782037834744277.570	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,0,6462.960,1782037835024339.650	,1782037835030802.610	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,1,6390.340,1782037835030948.690	,1782037835037339.030	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,2,6387.640,1782037835037473.950	,1782037835043861.590	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,3,6387.920,1782037835043980.250	,1782037835050368.170	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,4,6389.460,1782037835050485.790	,1782037835056875.250	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,5,6398.380,1782037835056995.270	,1782037835063393.650	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,6,6399.040,1782037835063505.170	,1782037835069904.210	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,7,6395.480,1782037835070016.990	,1782037835076412.470	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,8,6398.760,1782037835076535.030	,1782037835082933.790	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,9,6387.500,1782037835083056.470	,1782037835089443.970	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,10,6384.400,1782037835089569.530	,1782037835095953.930	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,11,6394.840,1782037835096071.210	,1782037835102466.050	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,12,6391.760,1782037835102582.710	,1782037835108974.470	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,13,6393.240,1782037835109091.890	,1782037835115485.130	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,14,6397.320,1782037835115598.650	,1782037835121995.970	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,15,6385.520,1782037835122107.930	,1782037835128493.450	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,16,6395.360,1782037835128615.790	,1782037835135011.150	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,17,6390.920,1782037835135135.410	,1782037835141526.330	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,18,6387.160,1782037835141640.030	,1782037835148027.190	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,19,6394.700,1782037835148140.910	,1782037835154535.610	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,20,6379.520,1782037835154652.510	,1782037835161032.030	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037835180358.770	,1782037835180358.790	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037835180412.370	,1782037835180412.390	
